id,artist,uri,ntnl,mvmnt,born,died,subj_terms
113,"Dix, Otto",http://dbpedia.org/resource/Otto_Dix,Germany,nA,1891-12-02,1969-07-25,"German_military_personnel_of_World_War_I, German_military_personnel_of_World_War_II, German_painters, Commanders_Crosses_of_the_Order_of_Merit_of_the_Federal_Republic_of_Germany, German_Expressionist_painters, Military_art, Modern_painters, People_from_Reuss_Younger_Line, War_artists, 1891_births, 1969_deaths, Dada, German_Esperantists, People_from_Gera, People_from_Thuringia, Recipients_of_the_Iron_Cross"
114,"Döbel, Karl",http://dbpedia.org/resource/Karl_D%C3%B6bel,nA,nA,nA,nA,nA
115,"Dobers, Paul",http://dbpedia.org/resource/Paul_Dobers,nA,nA,nA,nA,nA
116,"Domke, Martin",http://dbpedia.org/resource/Martin_Domke,nA,nA,nA,nA,nA
117,"Domscheit, Franz",http://dbpedia.org/resource/Franz_Domscheit,nA,nA,1880-08-15,1965-11-14,"German_painters, Lithuanian_emigrants_to_South_Africa, Lithuanian_painters, 1880_births, 1965_deaths"
118,"Dornbach, Hans",http://dbpedia.org/resource/Hans_Dornbach,nA,nA,nA,nA,nA
119,"Dressler, August Wilhelm",http://dbpedia.org/resource/August_Wilhelm_Dressler,nA,nA,nA,nA,nA
120,"Drewes, Werner",http://dbpedia.org/resource/Werner_Drewes,nA,nA,nA,nA,nA
121,"Drexel, Hans Christof",http://dbpedia.org/resource/Hans_Christof_Drexel,nA,nA,nA,nA,nA
122,"Driesch, Johannes",http://dbpedia.org/resource/Johannes_Driesch,nA,nA,nA,nA,nA
123,"Dülberg, Ewald",http://dbpedia.org/resource/Ewald_D%C3%BClberg,nA,nA,nA,nA,nA
124,"Dungert, Max",http://dbpedia.org/resource/Max_Dungert,nA,nA,nA,nA,nA
125,"Dunken, Max",http://dbpedia.org/resource/Max_Dunken,nA,nA,nA,nA,nA
126,"Düssel, Eugen",http://dbpedia.org/resource/Eugen_D%C3%BCssel,nA,nA,nA,nA,nA
127,"Eberhard, Heinrich",http://dbpedia.org/resource/Heinrich_Eberhard,nA,nA,nA,nA,nA
128,"Eberz, Josef",http://dbpedia.org/resource/Josef_Eberz,nA,nA,nA,nA,nA
129,"Ederer, Carl",http://dbpedia.org/resource/Carl_Ederer,nA,nA,nA,nA,nA
130,"Edzard, Dietz",http://dbpedia.org/resource/Dietz_Edzard,nA,nA,nA,nA,nA
131,"Ehlers, Karl",http://dbpedia.org/resource/Karl_Ehlers,nA,nA,nA,nA,nA
132,"Ehmsen, Heinrich",http://dbpedia.org/resource/Heinrich_Ehmsen,nA,nA,nA,nA,nA
133,"Einstein, Carl",http://dbpedia.org/resource/Carl_Einstein,nA,nA,1885-04-26,1940-07-05,"Historians_who_committed_suicide, German_dramatists_and_playwrights, German_expatriates_in_France, German_military_personnel_of_World_War_I, People_from_Neuwied, Activists_who_committed_suicide, Expressionism, German_Jews, German_activists, German_anarchists, German_autobiographers, German_novelists, Jewish_anarchists, Writers_who_committed_suicide, 1885_births, 1940_deaths, German_art_historians, People_convicted_of_blasphemy, German_people_of_the_Spanish_Civil_War"
134,"Elkan, Benno",http://dbpedia.org/resource/Benno_Elkan,nA,nA,1877-12-02,1960-01-10,"German_refugees, German_Jews, Jews_who_emigrated_to_the_United_Kingdom_to_escape_Nazism, 1877_births, 1960_deaths, Alumni_of_Institut_Le_Rosey, British_Jews, Jewish_artists, Jewish_refugees"
135,"Engelmann, Annette",http://dbpedia.org/resource/Annette_Engelmann,nA,nA,nA,nA,nA
136,"Engelmann, Richard",http://dbpedia.org/resource/Richard_Engelmann,nA,nA,1919-12-30,1944-10-19,"People_from_Limburg_an_der_Lahn, German_military_personnel_of_World_War_II, Recipients_of_the_German_Cross, Recipients_of_the_Knight's_Cross, 1919_births, 1944_deaths, German_military_personnel_killed_in_World_War_II, Recipients_of_the_Iron_Cross"
137,"Enseling, Joseph",http://dbpedia.org/resource/Joseph_Enseling,nA,nA,nA,nA,nA
138,"Ensor, James",http://dbpedia.org/resource/James_Ensor,Belgium,"Symbolism, Expressionism",1860-04-13,1949-11-19,"Barons_of_Belgium, People_from_Ostend, Expressionism, Modern_painters, 1860_births, 1949_deaths, Belgian_painters, Belgian_printmakers, Symbolist_painters"
139,"Epper, Ignaz",http://dbpedia.org/resource/Ignaz_Epper,nA,nA,nA,nA,nA
140,"Erbach, Alois",http://dbpedia.org/resource/Alois_Erbach,nA,nA,nA,nA,nA
